Túp lều	庐
Xingshi	兴市
Dọa nạt	忬
Derain	德兰
Yun	暀
Po Kong	蒲崗
Dựa vào	憑
Ngoại vi	外圍
Tuyển chọn nhân viên	員選
Trong tương lai	日后
ký tên	迹象
Qi Guo	齐国
Bức tượng nhỏ	俑
chất thải	浪費
không trang điểm	縵
Thiên nga	鷫
Zhu	罯
Vua của trời	天王
Đầu tây	西端
Phong cách cũ	舊式
Cú	枭
Tấn	潯
Hai mươi sáu	第二十六
cuộc phiêu lưu	冒险
Con tôm	鹀
liên bang	联邦
điểm	點
Tuck	楖
armadillo	犰
Ra mắt	首張
Phân phối	經銷
khó khăn	强硬
Indy	印地
Thủ đô	的資
chỉ	剛
Xấp xỉ đường dẫn	徑約
Nồi	炓
Đại lễ	盛典
Phương trình	等式
Nghìn hộ gia đình	千戶
Siwei	斯維
thân hình	身
Căng ra	抻
Apa	阿帕
Quận dương	阳县
hái	諏
Trưởng thị trấn	鎮總
hoàn thành	完整
Trường kinh tế	经济学院
thành tích	成就
chi tiết	详细
Wo	妭
Sức khỏe	厣
thăm dò	勘探
Làn sóng	揮
Đứng lên	廝
Tiền nhiệm	前身
ngày lễ	放假
phòng bếp	厨房
cập nhật	最新
Làm lơ	無視
Yellowstone	黄石
Hiểu lầm	誤以為
Rhine	莱茵河
Kiên nhẫn	病患
trở nên	成為
Chu	漻
tự động hóa	自动化
Yu	瑜
Ba vương quốc	三國時
ngủ trưa	盹
ZTE	中兴
Perth	珀斯
Thông thoáng	澈
Giai đoạn này	這一時期
Lâu đài	城堡
Nhận biết	結識
chạy	奔走
tách biệt	僻
Thành phố đặc biệt	特別市
Không bao giờ	有史以来
Loài	物種
Xing'an Ling	兴安岭
Nguyên âm	韻母
Chú	叔叔
Soái hạm	旗舰
Đài kỷ niệm	纪念馆
Bướng bỉnh	詄
kẹo	糖果
Hạt Chuan	川縣
tập thể	集體
Sinh ra	出世
Gia	吉亞
phản chiếu	体现
tiêu diệt	殄
thiếu sót	缺少
thưởng thức	欣賞
Sự giống nhau	類動
Eo biển Calais	加来海峡
của chúng tôi	敝
Một lần	一次性
Sinda	辛達
Các thế hệ	世代
Hồi sinh	重振
Vắt kiệt	榨
Rap	说唱
nâng cao	增進
đặt mái chèo của một người vào	干涉
thế giới	世界
Tenberg	滕贝格
trang web	网页
Lời nhắc	促使
Dari	达里
răng không đều	龉
Tàu số	號列車
Tâm sự	心腹
Usher vào	迎來
Cảm thấy	感受
Cho đến chết	处死
Hohhot	呼和浩特
Toàn bộ khu vực	全区
Điều khoản khác	杂木
Gu	瓘
Số Pi	淠
Longshan	龙山
Công nghiệp dịch vụ	服务业
Hu	翜
Ming	溂
Kiếm sống	为生
Lịch sử	歷代
Xấu	不善
tín hiệu	信号
bò húc	犍
Quận Đông	东县
Chung	常见的
Jie	昷
Tỉnh	讷省
Trẻ em	大三
bệnh truyền nhiễm	传染病
sau Thế chiến II	二戰後
Tin tức	讯
trạm xe buýt	巴士站
Danh tướng	名將
khỏe	細
Cùng với	連同
Khớp lệnh	賽階
Barney	巴尼
bánh ngọt	骹
nhọn	尖锐
Aveyron	阿韦龙省
Kéo ra	拉脫
Ravage	蹏
Hans	汉斯
gosh	暈
huỳnh quang	荧
Trung Quốc và Ấn Độ	中印
thờ cúng	朝拜
Thành phần	份子
cầu chì	引信
tin đồn	謠
dấu	標
Chặt đầu	斬首
kế hoạch	計劃
Barton	巴顿
Hát	唱歌
Planck	普朗克
Thục Phi	淑妃
người Hy Lạp	希腊语
ĐổĐốt sống	柖椎
Lis	力斯
quạt	箑
Tăng lên	陞
Một phần của	部份
Lỗ Tấn	鲁迅
cắn	啃
Ngoài thị trấn	外地
ví dụ	譬如
Nam Á	南亚
Phía đông	東邊
pháp luật	定律
đánh rắm	屁
lên bờ	岸上
Mạch	電路
Thân cây	篋
Nar	纳尔
sách	冊子
Đảo dài	長島
Tàu không gian	太空船
Miao	苗族
nguyên	原本
Tong	佟
Ba chiều	立体
Và Đài Loan	與台
quán ba	拦
Floren	佛罗伦
Kỳ lạ	奇異
Nhẫn	擂台
lâu năm	多年生
Thành phố do quận quản lý	縣轄市
Gaddafi	卡扎菲
Vẽ lên	擬定
con tin	人质
Cảng Victoria	維多利亞港
Vị trí	位處
cởi	起飞
Hoa hồng	蔷薇
Không chỉ	不單
Biết rõ	諳
Đề cập	涵盖
Súng phóng lựu	榴彈發射器
Qi	侒
tranh luận	辯
phân loại học	分类法
Zhuzhou	株洲
Được giới thiệu	出台
Nhựa	树脂
Hội trưởng	总司令部
Cấp thị trấn	乡级
Satoshi	聰
cây kê	粟
Gadolinium	蒆
sương mù	霾
Jiacheng	嘉誠
Tái bản	转载
Khuôn khổ	构架
Cuộc hẹn	任免
khóa	锁定
đám mây	云
Kiêu ngạo	僭
người phát ngôn	发言人
nắm lấy	逮
đứng gần	支持
Biện hộ	倡导
Hinder	礙於
tham nhũng	腐敗
Do dự	犹豫
Dong	栋
Đường chéo	对角
đúng	权
Được chấp nhận rộng rãi	廣受
Thành lập	創辦
Laco	拉科
Không để	不致
giá vé	票價
rụng răng sữa	龆
Diêm	個賽
Hui	蕙
Nghiên cứu	究
Nhậm chức	就任
Về Tp.	約市
quý ông	绅士
Tưởng tượng	虚
Thuộc về	屬
Seongnam	城南
Được	分得
Xếp hạng	收視
Mười hai ngày	十二日
Ở Trung Quốc	駐華
Danh sách rút gọn	入圍
cơn ác mộng	魘
Thời gian	個時
Quét	横扫
đỉnh cao	頂尖
Hội chợ triển lãm	博覽
sỏi	碎石
Cái nút	按鈕
Thủ đô	資
Bột nhồi	擊隊
Dwell	寓
thông thường	通常
Phân khu	細分
hiệu quả	效率
muộn	已故
bên	邊
đẹp	美
Yi	弋
bài học	教训
Pas-de-Calais	加来海峡省
con vượn	蝯
khoáng sản	矿物
máy vi tính	計算機
Mặc	配戴
Khán giả	觀眾
Yi	诒
ăn mặc đẹp lên	打扮
Chu	菿
con ma	鬼
chỉ	放映
siêu nhiên	超自然
Ít	略特
Stego	斯德哥
Chuyên nghành	专
tà ác	恶
Tách rời	分隔
sách	书
Gọi cho	号召
Honshu	本州
vùng lân cận	环境
khu vực	区域
Ôn tập	审查
khai trương	大奖赛
phía đông	东面
Bộ	訂定
Đông Nam	东南部
Bộ lạc	部族
tinh dịch	精液
Đúng	右方
Lịch sử	史都
Chu	矗
Lanren	兰人
hiếm hoi	罕有
phát biểu	言語
Zhe	冖
Ngoại thất	外觀
Kinh tế và Thương mại	经贸
tuyên bố	声明
Đơn hàng con	亚目
martingale	鞅
nhanh	翛
xe điện ngầm	地铁
Bảng đen	篮板
Stilbene	茋
que diêm	一場比賽
tỉnh lẻ	省级
cái sau	後者
Volt	伏
bệnh tiêu chảy	瀉
cây gai dầu	痲
sự đối xử	治療
Taki	泷
địa điểm	放置
Tin	相信
Thây ma	殭屍
Ba tháng	三個月
quảng cáo	廣告
tiên phong	开拓者
Tham khảo	指称
Phí cho	費為
Hoài Hải	淮海
Măng xông	袖
Sớm	上旬
Nuo	傩
lạm dụng	滥用
Qunchen	群臣
quyền phủ quyết	否決
Bạn	禰
lười biếng	懶
Quân đội	軍政
Đồng nghiệp	同工
Đường phía bắc	北道
rung chuyển	擞
chế tạo	制造业
Ngôi sao	星人
Han Shi	漢時
ăng ten	天線
Wagtail	鶺
Ở trên	上方
Ling	漴
Assyria	亞述
Cher	谢尔省
H	犺
lễ cưới	婚礼
thẳng thắn	直接
Dân thường	百姓
cân nặng	重
nhà hàng	餐馆
Đã ký	簽訂
Mờ nhạt	洀
hú	嗥
Yun	潚
Yu Ying	於英
mẫu	圖樣
Đầu vào	進氣
Tường	牆壁
Long não	莰
liều lĩnh	伥
tiêu	花费
phát sóng	播送
Bình luận	评
Quốc gia trung quốc	中华民族
Thẳng thắn	直達
Sáng tạo	創意
Lớp là	層為
Tiếp xúc	接洽
Hôm nay	鼎盛
Xinghua	兴化
đói bụng	饥
địa phương	地方
Phi tập trung	下放
Xe thể thao	跑車
Seattle	西雅圖
Ngôn ngữ và	語與
áo choàng	岬
gãy xương	斷裂
triết gia	哲學家
Đa chiều	多维
Lớp học	級的
Latin	拉丁
mập	脂
Từ xa	远程
Bộ phận kỹ thuật	工程系
Đã sẵn sàng	已然
xuất hiện	容貌
Linh hồn	灵魂
tấn công	攻擊
Trùng hợp	適逢
Bắn	射殺
hậu cần	後勤
đạt được	獲得
lừa đảo	騙
Ma	玛
Ono	小野
nhật thực một phần	偏食
Ho	嗬
Gốc	原屬
Tòa tháp	城楼
Chắc chắn	明定
Yi	貽
Sowa	索瓦
Yi	佅
Thay đổi lại	再改
Học theo cặp	對學
Lạm dụng	虐
kiệt sức	罄
Sau cơ thể	體後
Lớp thứ hai	二等
Yo	哟
thành phần	组成
Đánh	命中
Ngọt	飴
Câm	倄
mềm mại	柔和
Zhimen	直门
Để biết thêm	為多
Ft	夫特
Lington	靈頓
lần nữa	再
Ứ đọng	瘀
Ngoài ra	另外
Pháp luân công	法轮功
sự hy sinh	牺牲
Ye	迵
vì thế	故而
Tiếp cận	臨近
nền tảng	礎
Người trả lời	應器
Khép kín	闭包
Âm vị học	音韻
hơ qua lửa	熯
Beauvais	博韦
Bộ chiến tranh	战部
Dahua	大化
căn cứ	壘
Cũng thế	還要
Thiên nhiên	自然界
đang yêu	恋爱
chung	关节
Tháng sau	月後
cây búa	搥
keo dán	胶
Vòng xoay	自转
Xơ vải	敤
Yunlong	云龙
Ellis	艾利斯
Shao	讙
pháp luật	律
Ống kính	鏡頭
Chỉ định	指派
ngã	坠
Và sau đó	與當時
Mitte	密特
hứa hẹn	有为
chào mừng	迎
Hưng thịnh	茂盛
Cá chình	賝
Ming	溘
Xuất sắc	叱咤
Phân loại Kronqvist	克朗奎斯特分类法
Suncheon	順天
Keimoto	庆元
hoa tiêu	航海家
Gali	加利
thuận lợi	矞
Trên ngựa	在馬
nhận con nuôi	采纳
Mặt phẳng	側扁
Ga	尕
ghi chú	筆記
Yeat	耶特
giấy	紙
Được dùng cho	用於
nổi loạn	謀反
Xi	皙
Augsburg	奥格斯堡
Quyi	曲艺
Vị trí chính thức	官位
Sự thay thế	置换
Trưởng lão	中會
chủ nghĩa hiện thực	现实主义
Yorkshire	約克郡
màu xanh da trời	藍色
Quốc gia	國
Slovenia	斯洛文尼亚
Zhe	者則
bày tỏ	表述
Tanggu	塘沽
Trang Chủ	家
Hàng trước	行前
Yong	墉
Thành viên của đội	隊成員
Trang	特朗
rau xà lách	沙拉
Streak	連勝
Cố ý	有意
số sê-ri	編號
Đã trở thành	化為
Định hướng ngành	業為主
đóng cửa	扃
tên giả	笔名
Sau sự kiện	事件後
Yamaguchi-gumi	山口組
ở đằng trước	前锋
Sự khác biệt	分化
nhà vua	王者
Tong	硑
Philips	菲利浦
Yun	郠
không khí	大气层
Giai đoạn thứ hai	二段
Giới hạn tốc độ	限速
Huệ Châu	徽州
Từ	是從
Thủ tướng	丞相
Ấn Độ	印第安人
Jingzhou	荊州
sự công nhận	承認
Thô	粗
nhà ở	屋宇
quen với	忸
Treo	鸿
Điều này	这部
Đối ngoại	外務
Hấp	煆
Đất ngựa	馬地
Hạt	珠
Hội nghị thượng đỉnh	峰会
Ít hơn	小于
thành phố Manchester	曼城
Trước chiến tranh	战前
Bayer	拜耳
lịch trình	日程
ác quỷ	魔神
Chất xơ	縴
Choáng váng	愇
Uy tín	美誉
Vẽ lên	撘
Rêu	莫斯
Thân hình	体形
Cái đầu	髷
Sau chùm	束後
tấm ảnh	攝
Quận Gang	岗区
Oda	小田
Đà điểu	鸸
đống	堆
Trang điểm	湊
Trận chiến	之战
Linh thiêng	神聖
Ji	瑎
nang	葖
Lãnh thổ mới phía Tây	新界西
mũi tên run	掤
đá hoa cương	花崗岩
Tay và chân	手足
thu hoạch trong vụ thu hoạch	穑
Dài	垯
Chạy xuyên qua	貫穿
cỏ ba lá	苜
rau diếp	莴
Vùng phát triển	發展區
Hoài	槐
Nho giáo	儒家
Những người yêu thích	哥特人
Nehe	讷河
giữa năm	年中
Tất nhiên	然
tiếng Nhật	日语
Xấp xỉ	約為
đau khổ	惄
Max	馬克斯
Wan	琬
lỗi	過失
Yi	幤
Normandy	諾曼第
Đi bộ	歩
riêng tư	私營
Gower	高爾
nghề thêu	黻
khi anh ta	當他
Wu	芜
kaoliang	秫
Tây Ấn Độ	西印度
máy bay	鉋
Sông Nile	尼羅
Nằm	座落
Kiềm chế	斂
ngắn gọn	简洁
Bộ thương mại	商务部
Giẻ	襤
Su	為蘇
Trường hợp	個案
Đồng thời	並發
Vòng	迴圈
Tường	沃爾
đã nói	辐
Sự xuất bản	出版品
cá đuối	鱝
Wu Trung Quốc	吳語
song phương	雙邊
Nhiều hơn	更於
Chính thức	职官
xây dựng	大厦
Thượng Kinh	上京
một số	一些
Tận dụng tốt các	善用
mà đã thực hiện	表现
ngọn lửa	火焰
Đội số	隊第
Thống nhất quốc gia	國統
Armenia	亚美尼亚
Kỳ quặc	第奇
giết chết	殺人
Bản ghi nhớ	备忘
chi phí	開支
thuốc nhuộm	染
Thịnh vượng	旺
Văn xương	文昌
Chân thành	忱
Vừa và nhỏ	中小
Theo dõi bởi	隨後於
Đôi nam	男双
Ôm	豀
Chúa Trời	神明
Quinine	喹
biên kịch	編劇
số phận	命運
Hai lần cuối	後兩
giá trị	值
Bu	卜
Xuân	禤
Tang	諅
Outfitting	舾
trận hải chiến	海戰
Jiong	迥
Cục Di tích Văn hóa	文物局
nơi	斑點
khuyên can	劝阻
chính xác	精確
khóa học	航向
triều đại	王朝
Một tay	一手
cốc ngọc có tai	斝
THOA	民建聯
Đảo nhỏ	胰岛
Promethium	钷
Thái độ	态度
vệ tinh	卫星
Ba lan	波兰
Hoàng tử	太子
một lát sau	後来
Chất ô nhiễm	污染物
Tuổi thọ	長生
Mới	新建
quả mọng	莓
Đúng	哉
Cắm trại bên phải	營權
Ngày 16	十六日
Srilan	斯里兰
ánh của đá quý	瑳
sự cuồng tín	狂热
Kete	克特
chỉ có	祇
Mao	茅
Chicago	芝加哥
điện báo	电报
tiết tấu	椓
xe buýt	公交车
Đấu thầu	招標
Lưu trữ	托管
đường khắc	瑑
xây dựng	修築
ghi âm	录音
Bồ công anh	蒲公英
Tiếng Mông Cổ	矇
Mạng lưới đường sắt	铁路网
Mùi	聞及
Scopole	鏪
kêu	呶
đập	水坝
đến	往
chấn thương	創傷
Chỉ	顯
Lên lịch	計約
học nghề	徒弟
Với cơn gió	飘
đột biến	突变
Hoa	綻
chuyển tiếp	過渡
chuyến thăm	访
Ana	阿納
Mức nước	水位
nâng cấp	升級
ngủ ngáy	齁
Nghệ thuật	文艺
Wu Sheng	武胜
buồn	恻
bon muoi chin	四十九
mỏ neo	椗
Liên kết	聯合會
trường cao học	研究所
cung cấp	提供
cửa sổ	窗戶
hồi phục	復甦
Thánh địa	圣地
Thật	確
Trường học	黌
Lei	耒
Bang Sao Paulo	圣保罗州
Có thể tiếp cận	可達
Nước màu đen	黑水
nữ diễn viên	女演员
pao	鎊
Bảo vệ quyền lợi	维权
Mit	蜼
Hiểu biết	默契
phòng	房間
men	酴
Chạy	阰
Tan	榳
lợi nhuận	利润
Viết	寫法
khử độc tố	脱氧
đi bộ	跞
Chi	茌
Yu	窛
đột biến	突變
Nhân mã	人馬
Quận trung tâm và phía tây	中西區
Shenmu	神木
Đóng quân	進駐
con vịt	鸭
Isomorphism	同构
Tích cực	陽性
Hát	梼
Gal	加尔
Ding	臢
cạnh	緣
Được trang bị	裝有
Ngạc nhiên	驚訝
Khen ngợi	好評
Kêu la	嚣
Xizheng	西征
Sẽ trở thành	會成為
đầm lầy	沼泽
Hu Feng	胡风
Ze	澤
Dệt may	紡織
hoàn thành	齐全
khổng lồ	鉅
Hoàng hôn	旰
Tát	耹
Cần phải	須經
Trung gian	斡旋
Một số loại	數種
Thị trấn lâu đài	城下町
Đường bờ biển	海岸线
Lo lắng	惙
cho phép	容許
bạo kích	临界
Âm	瀗
loquat	杷
Giả vờ	裝親
Juan	珦
ngã tư	路口
Cổng thành	城門
Nhận	接到
Lith	立特
kho	廒
Rất nhiều	多多
Phần còn lại	餘下
Không bao giờ	从未
Pao	檕
Cuốn sách này	此书
Polaroid	寶麗
Sở hữu	佔有
công tắc điện	開關
Laba	拉巴
Lực lượng sản xuất	生产力
Pala	帕拉
Lính chì	带兵
nguyền rủa	罵
Vải	布料
Staf	斯塔夫
Leon	莱昂
Quý ông	君子
Hệ tọa độ	坐标系
đỏ tươi	绯
cánh đồng	领域
Giới thiệu	介绍
Bị giết	遇害
Vô hiệu hóa	禁用
Hát	燐
kẻ thù	敌人
Mùn	葎
Tuyến Đảo Hồng Kông	港島綫
cà vạt	扎
Ba lan	波蘭
Đầu tiên	先是
Jimo	即墨
Các vị vua	金斯
Nụ cười	笑容
đứa con hoang	私生子
Răng nanh	鮧
Sheng	笙
Al	阿勒
đời sống	生活
Chức vụ	职
đập	壩
Omentum	网膜
Đường ô tô	車路
Hát và nhảy	歌舞
Di cư	移居
Tùy chọn	选项
Plover	鸻
Liechtenstein	列支敦
Chỉ huy quân đội	武將
Sống ở	居于
Lãnh thổ	属地
Rhone	罗纳
Băng nhóm	冈
Quy mô lớn	大举
Fen	棻
Dịch	译本
cao	嵯
Biến đổi	可变
Ham học	好學
Năm mươi sáu	五十六
Hăm dọa	脇
ẩn giấu	躲藏
bối rối	棼
Được lấy từ	取自
giám sát	显示器
Cheng	郋
Quận này	本區
Cung điện Hoàng gia	王宫
Tao	道
Nhiều	罗得
Bobby	巴比
Bóng chuyền nữ	女排
Làm sao	豪
hạn hán	乾旱
Shao	岹
Hiện tại là	是現
din	豗
Viết như	寫為
Giải bóng chày Major League	美國職棒
Què	跦
Phiếu thưởng	劵
cửa sổ	窗户
yến tiệc	宴會
Quê nhà	老家
Huh	咗
Anton	安东
Xin	辛
Của Liu	劉氏
từ	自从
đống	砢
nâu	褐色
Ting	葶
bình minh	曉
Tầm nhìn	视野
Hàng trăm	数百
Món ăn	食邑
Chu	蓜
hình thành	成型
Chú	舅舅
Chuyển hướng	引水
khó khăn	艱
Phục vụ như	擔任
hiểu biết	识
Ningbo	寧波
chú ngựa vàng	金馬
Bộ sưu tập	集英
Huyện	區則
Belarus	白俄罗斯
nôn mửa	涒
Kẽm	鋅
chia tay	告别
Hải	亥
Zhu	篛
Gauss	高斯
Nộp hồ sơ	立案
hội đồng	理事会
Okayama	冈山
Từ	自來
Jevic	耶维奇
Tai County	台县
đánh dấu	蜱
Nghẹn ngào	窒
ống	管
cộng sự	搭档
Trước	此前
tuyên thệ	誓
Mẹ	巬
Sức cản	電阻
tăng cường	激化
Độ dài sách	書長
Tiết mục	剧目
Guiwei	癸未
Thêu	绣
Vượt qua	渡过
Mặt khác	另一方面
dây cương	轡
vết trầy	挠
tín dụng	功劳
Họ Gentianaceae	龙胆科
Vui mừng	驩
con bò cạp	謖
Sẽ sản xuất	會產
tập phim	插曲
Tấn công	襲
hoàn toàn	全然
AIDS	艾滋病
Cục Trung ương	中央局
Hun	琿
Tây An	芏
Lan tràn	撒
phản đối	对手
Âm	埻
thùng đựng rượu	卣
Đóng cọc	樁
Chuyển tới	遷至
Quan trọng	至关重要
Quên	遺忘
đá giống như ngọc bích	瑂
Biệt đội	小隊
Hậu vệ	守軍
ban đỏ	癜
San Francisco	三藩市
Stephen	史蒂芬
Độ cao	高程
nóng bức	辣
độ cứng	硬度
vùng ôn đới	温带
Nghe	听到
kế toán	会计
Allen	艾倫
Dệt	織
Giáo dân	下人
Dòng chảy bên trong	内流
con bò cạp	蠍
Băng nhóm	铘
Phần phía sau	後
Quy định	调控
Azole	唑
Bảng sau	下表
Thrush	踫
nhảy	舞
Umbelliferae	伞形科
Đường phía bắc	北路
Dạ tiệc	加拉
Cây tầm ma	蕁
Dây vàng	金丝
Yi	乛
Thời chiến	戰時
thắng lợi	嬴
Thương mại	商用
chung	共同
mặc	穿
Ngã xuống	倒下
Thần chú	真言
Brezh	勃列日
dự báo	预报
Cá sấu	鱷
thời thơ ấu	童年
Trận đánh	格斗
Một lớn	一個大型
cơm	饭
nhiều hơn	大於
Mái vòm	圆顶
Khách mời	作客
kính thưa	亲
Giải cứu	救起
Li	酈
Thay thế	更替
Mahler	马勒
triệu	百萬
nươc trai cây	果汁
Đối với không	為沒
Phòng hòa nhạc	樂廳
Thân cây	樹幹
Đối với họ	對他們
Sau khi tăng dần	即位後
cờ	幟
Hồ tây	西湖
Lang thang	孨
Quận Đông	區東
bùn	泥
bận	忙
Hai	兩個
Dongjin	东晋
con bò cạp	鞉
Thành phố và	市與
Tên giai đoạn	藝名
Thu hút	誘
Tốt	徴
cháu gái	孫女
ngữ pháp	文法
Thuê	聘請
Ánh sáng và bóng tối	光影
Ronald	羅納德
Nhạc trưởng	導體
Sub cho	子為
Dali	大理
Vonfram	鎢
Ashoka	阿育王
Tách rời	分立
Jian	謇
Chính quyền tỉnh	省政府
Người Đài Loan	台語
ý nghĩ xấu xa	慝
Luân	鸞
Do	會因
Ngâm chua	醃
ngon	可口
Saint	圣者
Vũ Xương	武昌
thực hành	作法
Cạnh tranh	競
Hamilton	汉密
Bulbul	鹎
Giai đoạn đầu	前期
Victoria	維多利亞
Đường núi	山線
Xu Xiangqian	徐向前
Yilin	依林
Lạc quan	看好
hai mươi giây	第二十二
Luộm thuộm	鋢
Xấu hổ	蹪
Chính sách	策
tinh thần	靈
Montpellier	蒙彼利埃
Ningbo	宁波
Góc dưới	下角
phương hướng	方向
Cả làng	全村
Nishikawa	西川
Đánh nhau	抗争
Lyle	萊爾
Háng	胯
Đại Hưng	大兴安岭
Phố đi bộ	步行街
Đồi phía Bắc	北山
Con nai	鋍
Trận đấu	賽會
Qiao	硚
Kỹ lưỡng	阐述
Yong	塒
Lar	拉尔
Yan	鄇
nhà máy điện	发电厂
Rơi vào	陷入
Irving	歐文
ngựa nâu sẫm	驖
Tại thời điểm	之時
S	論
Sau khi đội	隊後
Lexus	凌志
Sáng	辉
Thùng đựng hàng	貨櫃
Hua	驊
Cân	衡
Nhặt lên	占
Taki	塔基
Mã Anh Cửu	馬英九
Cả hai mặt	兩側
Riêng	樞密
Steve	史提夫
Giáo dục	教育学
Địa điểm	處
Jingdezhen	景德镇
Vòng tròn	圓環
Hoa Kỳ	美國本土
lúa mì	小麦
tiền vay	贷款
Wanton	肆
trưởng nhóm	队长
Đan Dương	丹阳
Thanh tra	察使
anthill	垤
Đảng dân chủ xã hội	社会民主党
vũ trụ	宇宙
tương tác	互動
Ga tàu điện ngầm	地鐵站
Vị trí	安置
làm ẩm	濡
Xiaolong	小龙
đại sứ	大使
Bốn chỗ ngồi	四座
dốc đứng	沏
Wu Ze	武则
Còn thiếu	失蹤
Thiết lập	树立
sợ hãi	嚇
viền lụa của một vòng hoa	紞
Vào cung điện	入宮
đen	黑
giới hạn	界限
Trong sân	院中
chôn	瘞
Người kể chuyện	特勒
Phái viên	出使
